timestamp,Laptrigger_lapdist_dls,Steering_Angle,VBOX_Lat_Min,VBOX_Long_Minutes,accx_can,accy_can,aps,gear,nmot,pbrake_f,pbrake_r,speed,timestamp_dt,time_sec,dist_diff,lap_timestamp
2025-10-16T02:42:18.546Z,202.0,0.1,39.79507446289063,-86.23890686035156,0.072,0.02,100.0,5.0,6670.0,0.0,0.0,0.0,2025-10-16 02:42:18.546000+00:00,1760582538.5459998,-3010.0,0.0
2025-10-16T02:42:18.557Z,202.0,22.6,39.79531097412109,-86.23504638671875,0.191,0.025,11.65,2.0,6670.0,0.0,0.0,0.0,2025-10-16 02:42:18.557000+00:00,1760582538.557,0.0,0.01100015640258789
2025-10-16T02:42:18.561Z,202.0,50.7,39.78923416137695,-86.23526000976562,-0.584,1.053,0.0,2.0,6670.0,29.055,30.155,0.0,2025-10-16 02:42:18.561000+00:00,1760582538.5609999,0.0,0.015000104904174805
2025-10-16T02:42:18.568Z,1115.0,-43.400000000000006,39.80086898803711,-86.23555755615234,0.289,-1.173,100.0,2.0,6849.0,0.0,0.0,0.0,2025-10-16 02:42:18.568000+00:00,1760582538.568,913.0,0.02200031280517578
2025-10-16T02:42:18.574Z,1115.0,-8.8,39.79172897338867,-86.2365493774414,-0.011,0.028,0.31,0.0,6849.0,0.0,0.0,0.0,2025-10-16 02:42:18.574000+00:00,1760582538.5740001,0.0,0.028000354766845703
2025-10-16T02:42:18.589Z,1115.0,0.1,39.79512405395508,-86.23890686035156,0.085,0.01,100.0,5.0,6849.0,0.0,0.0,196.75,2025-10-16 02:42:18.589000+00:00,1760582538.589,0.0,0.043000221252441406
2025-10-16T02:42:18.601Z,1756.0,22.6,39.79529571533203,-86.23504638671875,0.078,0.027,12.26,2.0,3787.0,0.0,0.0,196.75,2025-10-16 02:42:18.601000+00:00,1760582538.6009998,641.0,0.05500006675720215
2025-10-16T02:42:18.605Z,1756.0,54.5,39.78924179077149,-86.23526000976562,-0.5680000000000001,1.122,0.0,2.0,3787.0,28.4,29.085,196.75,2025-10-16 02:42:18.605000+00:00,1760582538.605,0.0,0.059000253677368164
2025-10-16T02:42:18.614Z,1756.0,-40.400000000000006,39.80084228515625,-86.23554229736328,0.212,-1.114,100.0,2.0,3787.0,0.0,0.0,114.25,2025-10-16 02:42:18.614000+00:00,1760582538.614,0.0,0.06800031661987305
2025-10-16T02:42:18.616Z,1756.0,-8.8,39.79172897338867,-86.2365493774414,-0.011,0.025,0.31,0.0,3787.0,0.0,0.0,114.25,2025-10-16 02:42:18.616000+00:00,1760582538.616,0.0,0.07000017166137695
2025-10-16T02:42:18.633Z,1756.0,0.1,39.79512405395508,-86.23890686035156,0.067,0.02,100.0,5.0,3787.0,0.0,0.0,114.25,2025-10-16 02:42:18.633000+00:00,1760582538.633,0.0,0.08700013160705566
