timestamp,Laptrigger_lapdist_dls,Steering_Angle,VBOX_Lat_Min,VBOX_Long_Minutes,accx_can,accy_can,aps,gear,nmot,pbrake_f,pbrake_r,speed,timestamp_dt,time_sec,dist_diff,lap_timestamp
2025-10-16T07:15:07.581Z,2.0,6.300000000000001,39.79319381713867,-86.23885345458984,0.113,0.033,100.0,5.0,6339.0,0.0,0.0,185.38,2025-10-16 07:15:07.581000+00:00,1760598907.5809999,-3918.0,0.0
2025-10-16T07:15:07.624Z,2.0,5.9,39.79319381713867,-86.23885345458984,0.129,0.069,100.0,5.0,6339.0,0.0,0.0,185.92,2025-10-16 07:15:07.624000+00:00,1760598907.624,0.0,0.043000221252441406
2025-10-16T07:15:07.667Z,2.0,5.6000000000000005,39.793243408203125,-86.23885345458984,0.065,-0.027,100.0,5.0,6339.0,0.0,0.0,185.92,2025-10-16 07:15:07.667000+00:00,1760598907.667,0.0,0.08600020408630371
2025-10-16T07:15:07.711Z,2.0,5.6000000000000005,39.793243408203125,-86.23885345458984,0.088,0.035,100.0,5.0,6339.0,0.0,0.0,185.92,2025-10-16 07:15:07.711000+00:00,1760598907.711,0.0,0.13000011444091797
2025-10-16T07:15:07.754Z,2.0,5.6000000000000005,39.79328918457031,-86.23885345458984,0.083,0.022,100.0,5.0,6339.0,0.0,0.0,185.92,2025-10-16 07:15:07.754000+00:00,1760598907.754,0.0,0.17300009727478027
2025-10-16T07:15:07.797Z,12.0,5.800000000000001,39.79328918457031,-86.23885345458984,0.072,0.001,100.0,5.0,6371.0,0.0,0.0,185.92,2025-10-16 07:15:07.797000+00:00,1760598907.797,10.0,0.21600008010864258
2025-10-16T07:15:07.840Z,12.0,5.800000000000001,39.79328918457031,-86.23885345458984,0.064,0.006,100.0,5.0,6371.0,0.0,0.0,186.74,2025-10-16 07:15:07.840000+00:00,1760598907.84,0.0,0.2590000629425049
2025-10-16T07:15:07.883Z,12.0,5.7,39.7933349609375,-86.23885345458984,0.138,-0.015,100.0,5.0,6371.0,0.0,0.0,186.74,2025-10-16 07:15:07.883000+00:00,1760598907.8830001,0.0,0.3020002841949463
2025-10-16T07:15:07.926Z,12.0,5.7,39.7933349609375,-86.23885345458984,0.028,-0.034,100.0,5.0,6371.0,0.0,0.0,186.74,2025-10-16 07:15:07.926000+00:00,1760598907.926,0.0,0.3450002670288086
2025-10-16T07:15:08.014Z,23.0,5.300000000000001,39.79338073730469,-86.23885345458984,0.168,-0.018,100.0,5.0,6384.0,0.0,0.0,186.74,2025-10-16 07:15:08.014000+00:00,1760598908.0140002,11.0,0.4330003261566162
